No of indents,Hardness (GPa),Reduced Young Modulus (GPa),Young Modulus (GPa),Stiffness (uN/nm
305,5.17803870072657,109.092437272982,109.72258424169,179.414047782296
306,3.86494215941108,58.2135555825493,55.8102971111525,110.814358885999
307,3.12474396485598,305.387719087418,378.909138345948,646.529231727121
308,2.89726643912862,333.006799666117,427.220630476128,732.153996646011
309,3.28573760841802,325.922533743993,414.518342832817,672.888226637033
310,3.15221084556811,295.088867833982,361.697448043283,621.999287586818
311,3.32786544063557,336.291053208693,433.184832257539,689.883470956464
312,1.90485151178172,173.96141109395,186.647272445792,471.699264935172
313,2.36386610363904,192.593736000356,210.678280540523,468.786942165686
314,2.83194144788665,118.194568863154,119.930452390076,262.844796892595
315,2.1398299504909,44.9698404720784,42.5945589665637,115.047074136745
316,2.34432756614387,267.154626785964,317.04490652422,652.976493566137
317,3.23907806277501,259.554440138959,305.38331594762,539.711650734729
318,2.55752887577472,278.017863623831,334.067984614818,650.590631103594
319,3.70636991639677,222.284058697886,250.975396374465,432.092833200032
320,2.70916272034419,312.816588981334,391.588730364947,711.238832354781
321,1.9877252490475,229.324304903519,260.913790941105,608.719060842942
322,2.44621715463979,160.492497527116,169.841834439942,384.016972566393
323,2.31319552303373,104.726467719268,104.889586296062,257.687964584687
324,2.802324060199,40.1688905003749,37.8819533586986,89.7994796108349
325,2.18643835357632,-205.360497471339,-158.470866650192,-519.745485023526
326,2.88241308295902,211.92693858688,236.6271489295,467.14339845102
327,3.41312137341009,118.857889828167,120.681429522808,240.765804449587
328,3.78987621250291,164.894630622553,175.283686067164,316.982727218428
329,2.43400021291479,255.298428501456,298.939931456573,612.394031053679
330,2.62446631677972,140.997254990069,146.315378741121,325.71234661374
331,2.74196931290872,77.8083810860325,75.9650618412843,175.848171287779
332,3.3325429308861,59.0021859639813,56.6074242813416,120.955300739334
333,3.5744471131619,48.4692567605303,46.0555683903576,95.941090859864
334,2.69507350987794,329.138610706804,420.257539244172,750.302884953514
335,2.76402118417191,330.003279481046,421.808289707704,742.831955774543
336,2.28283838494281,361.199068237023,480.043462981259,894.647600010824
337,2.63406259154941,396.334154083256,551.438712855071,913.886897548694
338,3.0220331407652,391.675396398479,541.589346235663,843.182128621797
339,2.27459398910805,269.889904619056,321.291401327421,669.698438910206
340,3.07297939115505,111.499611960773,112.404707566764,238.032510990997
341,2.66509889923961,84.8434719651432,83.3828446091386,194.493385782331
342,3.54592594100354,48.2490415224892,45.8371192268788,95.8887066731553
343,2.9188820168463,309.377433598141,385.690775646819,677.678523291839
344,2.5139642501777,351.124933387716,460.737468903893,828.756082428667
345,2.21251502132964,386.948904445755,531.720393979516,973.539496797221
346,2.58563054088278,359.18610355882,476.146290921222,835.948960608097
347,2.35539009389383,342.860383597298,445.261167314585,836.044155611961
348,2.68822811470613,294.962292297325,361.488504480929,673.251179464073
349,3.16716163641998,101.942641974439,101.829085271381,214.370556080079
350,2.74708472769731,91.709192935283,90.7175279196794,207.072470658692
351,4.71038179410155,55.1341954602293,52.7087999736769,95.0680139509233
352,2.73047222363256,289.365377039571,352.311198491079,655.348611249124
353,3.29392683814463,305.818601667737,379.638440234082,630.595083358582
354,2.3779221822582,382.106774570076,521.736697137977,927.319029504746
355,3.28925496022931,318.531463333012,401.497885513394,657.273990756546
356,3.57772663481622,292.964930815217,358.199588976269,579.637007320009
357,3.00712762888095,253.975431201354,296.949513566352,548.099923917032
358,3.34558357936581,123.370182682926,125.815875052851,252.416698362409
359,3.49355737089493,97.4156453629774,96.8868776818633,195.046112707028
360,2.45976243804113,53.9331385775478,51.5038520202924,128.692217917766
361,2.96830382825393,302.840756351412,374.613440336454,657.813862191335
362,2.793417991103,338.985165444692,438.113598949904,759.025220010185
363,2.19615771904138,394.915716158707,548.426961775598,997.275531781075
364,2.77097144417647,360.791362347992,479.252515221723,811.117109487233
365,2.85318198412983,395.580504093408,549.837079140759,876.422304600084
366,2.68227226547595,313.073057066391,392.030510841981,715.380229735509
367,2.62996752615752,160.38672047039,169.711672704785,370.116384010786
368,2.4651149235773,103.237482461982,103.250582247522,246.072123936105
369,2.41989724564415,38.970899332524,36.7123815727266,93.753006106856
370,2.38564419005323,245.828088502272,284.82104210272,595.623914603013
371,2.57935548852232,330.800278336,423.24059173464,770.822018375011
372,2.42946802809233,346.515120325077,452.065593123275,831.972038169989
373,2.4994201721799,315.40598332264,396.061639377204,746.614030980541
374,2.52350046489682,351.186623002243,460.854200416141,827.329878657535
375,3.04383244718146,279.101314069505,335.789197763913,598.68117519806
376,3.59030471468672,131.360008451658,135.019399167939,259.442256829371
377,4.12919163231975,142.805730316979,148.459317316231,263.000419471332
378,3.01578232793299,43.9565967635542,41.5965407759172,94.7256050164416
379,2.53750261233588,275.132665899751,329.505339979169,646.370475477435
380,2.73339228722878,311.262131378748,388.916902781932,704.559770906371
381,6.05547722103024,345.916630922132,450.947061015653,526.064116360009
382,2.98054544534965,289.627382634694,352.738133578322,627.821898950073
383,2.79944642527992,373.684376370815,504.669464332057,835.820151633769
384,2.92337099666063,378.154150872473,513.68041146666,827.693439420328
385,3.24554298083787,147.597946939407,154.178040551253,306.605960622654
386,3.07692046610687,106.933987246851,107.328166409599,228.13965823813
387,42.3917751932603,283.306194006559,342.510207054215,162.838575098731
388,2.46345610338959,245.010022906094,283.615358933526,584.188764775869
389,2.42463565328059,261.996454947529,309.108426569923,629.67383186512
390,5.48318169883739,289.295752340975,352.197789787255,462.349136262203
391,3.22362919826349,368.757410423665,494.856975050587,768.62145686581
392,3.03984076382184,395.323071578213,549.290728748039,848.534561481186
393,9.79531283940832,389.595795496171,537.231920703956,465.85246060627
394,2.65166006226727,169.587426191536,181.138907468856,389.743448406951
395,2.98031247940225,124.61447512811,127.239712773225,270.134885445126
396,1.75136666981396,52.7096439138238,50.2791166480533,149.054096850753
397,2.34102766319887,245.583799871372,284.460774588023,600.674907711859
398,2.22450947473372,274.800068899007,328.981315430416,689.513271345286
399,2.83285892280146,351.337239392285,461.139278846398,781.18706000597
400,2.55052868153498,356.881529081653,471.708975470751,836.282904735781
401,2.58469608202435,340.395154968941,440.706263846987,792.356395217559
402,2.9181344580548,412.805119807292,587.265058388831,904.349332220079
403,3.02676556862946,152.439040118264,160.011124498785,327.906365201987
404,2.73200963045863,117.066422383345,118.655448847132,265.054320451231
